Customer_ID,Age,Gender,Location,Device_Type,Traffic_Source,Session_Count,Return_Customer,Time_of_Day,Time_Spent_on_Site,Pages_Viewed,Product_Category,Product_Category_2,Discount_Code_Used,Payment_Method,Items_in_Cart,Added_to_Cart,Abandonment_Point,Converted,Order_Value
CUST00017,29.0,Male,Dubai,Desktop,Paid Search,1.0,No,Afternoon,8.02,3.0,Electronics,Sports,No,Digital Wallet,,No,Product Page,No,
CUST00018,40.0,Female,Kuwait City,Mobile,Organic,,Yes,Night,35.78,8.0,Apparel,nan,No,Digital Wallet,3.0,Yes,None,Yes,154.4
CUST00019,32.0,Female,Doha,Tablet,Paid Search,1.0,No,Evening,60.0,13.0,Electronics,nan,Yes,BNPL,,No,Product Page,No,
CUST00020,,Female,Abu Dhabi,Mobile,Direct,4.0,Yes,Morning,5.85,2.0,Beauty,nan,No,Digital Wallet,,No,Product Page,No,
CUST00021,36.0,Female,Abu Dhabi,Mobile,Organic,4.0,Yes,Evening,13.6,2.0,Apparel,Sports,Yes,Digital Wallet,2.0,Yes,Cart,No,
CUST00022,46.0,Male,Kuwait City,Mobile,Email,4.0,Yes,Morning,24.2,9.0,Electronics,Sports,Yes,Digital Wallet,2.0,Yes,None,Yes,202.41
CUST00023,30.0,Male,Kuwait City,Mobile,Email,4.0,Yes,Morning,12.59,3.0,Beauty,nan,No,BNPL,4.0,Yes,Cart,No,
CUST00024,41.0,Female,Abu Dhabi,Mobile,Paid Search,2.0,Yes,Afternoon,13.59,1.0,Sports,Electronics,Yes,Digital Wallet,,No,Product Page,No,
CUST00025,34.0,Female,Abu Dhabi,Mobile,Email,2.0,Yes,Night,17.09,4.0,Electronics,Books,No,Digital Wallet,2.0,Yes,Cart,No,
CUST00026,34.0,Male,Riyadh,Mobile,Social Media,1.0,No,Evening,17.89,5.0,Electronics,Sports,No,Digital Wallet,1.0,Yes,None,Yes,340.49
CUST00027,43.0,Female,Dubai,Mobile,Direct,7.0,Yes,Evening,10.5,3.0,Grocery,Beauty,No,Digital Wallet,,No,Product Page,No,
CUST00028,33.0,Female,Dubai,Desktop,Direct,4.0,Yes,Afternoon,13.1,4.0,Apparel,nan,No,Credit/Debit Card,,No,Product Page,No,
CUST00029,34.0,Female,Dubai,Mobile,Paid Search,1.0,No,Evening,26.5,6.0,Grocery,nan,No,Digital Wallet,3.0,Yes,Cart,No,
CUST00030,39.0,Female,Dubai,Mobile,Social Media,3.0,Yes,Evening,18.66,5.0,Apparel,Sports,Yes,Credit/Debit Card,,No,Product Page,No,
CUST00031,28.0,Female,Sharjah,Desktop,Social Media,1.0,No,Evening,25.41,7.0,Electronics,Books,No,Credit/Debit Card,1.0,Yes,Payment Gateway,No,
CUST00032,34.0,Male,Mumbai,Mobile,Organic,5.0,Yes,Afternoon,11.4,3.0,Electronics,nan,No,Cash on Delivery,3.0,Yes,Cart,No,
CUST00033,41.0,Female,Riyadh,Desktop,Social Media,1.0,No,Evening,,7.0,Electronics,nan,No,Credit/Debit Card,,No,Product Page,No,
CUST00034,15.0,Male,Dubai,Tablet,Paid Search,3.0,Yes,Evening,44.64,11.0,Books,nan,No,BNPL,2.0,Yes,None,Yes,48.55
CUST00035,27.0,Female,Sharjah,Mobile,Social Media,1.0,No,Afternoon,11.39,3.0,Grocery,Beauty,No,Digital Wallet,,No,Product Page,No,
CUST00036,34.0,Male,Sharjah,Desktop,Social Media,2.0,Yes,Night,17.79,3.0,Grocery,Home & Kitchen,No,Digital Wallet,2.0,Yes,None,Yes,62.47
CUST00037,42.0,Female,,Desktop,Referral,1.0,No,Morning,16.51,4.0,Sports,Apparel,No,Credit/Debit Card,2.0,Yes,Cart,No,
CUST00038,59.0,Male,London,Desktop,Email,3.0,Yes,Afternoon,53.11,13.0,Sports,nan,No,Digital Wallet,,No,Product Page,No,
CUST00039,33.0,Male,Sharjah,Desktop,Social Media,2.0,Yes,Morning,12.03,5.0,Beauty,nan,No,Credit/Debit Card,,No,Product Page,No,
CUST00040,25.0,Male,Mumbai,Mobile,Paid Search,3.0,Yes,Morning,24.12,3.0,Sports,nan,No,Digital Wallet,2.0,Yes,Payment Gateway,No,
CUST00041,24.0,Other,Abu Dhabi,Desktop,Paid Search,3.0,Yes,Night,21.62,5.0,Electronics,nan,Yes,BNPL,,No,Product Page,No,
CUST00042,33.0,Other,Riyadh,Mobile,Social Media,2.0,Yes,Night,6.4,2.0,Apparel,nan,Yes,Credit/Debit Card,,No,Product Page,No,
CUST00043,54.0,Male,Dubai,Mobile,Email,5.0,Yes,Evening,18.96,7.0,Beauty,Grocery,Yes,Digital Wallet,3.0,Yes,Checkout,No,
CUST00044,24.0,Other,Sharjah,Mobile,Social Media,1.0,No,Night,6.25,2.0,Books,Grocery,No,Digital Wallet,,No,Product Page,No,
CUST00045,35.0,Female,Dubai,Mobile,Organic,4.0,Yes,Night,11.77,1.0,Beauty,nan,No,BNPL,,No,Product Page,No,
CUST00046,40.0,Female,Muscat,Mobile,Direct,3.0,Yes,Evening,34.47,8.0,Sports,Books,No,Digital Wallet,2.0,Yes,Cart,No,
CUST00047,31.0,Male,Kuwait City,Desktop,Direct,3.0,Yes,Night,13.11,1.0,Home & Kitchen,Beauty,No,Digital Wallet,3.0,Yes,Cart,No,
CUST00048,46.0,Female,Muscat,Desktop,Paid Search,2.0,Yes,Afternoon,28.94,7.0,Beauty,nan,Yes,BNPL,,No,Product Page,No,
CUST00049,49.0,Female,Doha,Mobile,Paid Search,1.0,No,Evening,6.11,6.0,Grocery,nan,No,Cash on Delivery,2.0,Yes,Cart,No,
CUST00050,26.0,Female,Muscat,Tablet,Social Media,1.0,No,Night,116.15347444496467,51.0,Electronics,Sports,Yes,Cash on Delivery,,No,Product Page,No,
CUST00051,43.0,Female,Dubai,Desktop,Organic,4.0,Yes,Morning,19.2,5.0,Books,nan,No,Digital Wallet,,No,Product Page,No,
CUST00052,41.0,Female,Sharjah,Mobile,Referral,1.0,No,Night,15.94,3.0,Home & Kitchen,nan,No,Digital Wallet,1.0,Yes,None,Yes,47.71
CUST00053,35.0,Female,Doha,Mobile,Paid Search,1.0,No,Afternoon,7.74,4.0,Beauty,Grocery,Yes,Credit/Debit Card,,No,Product Page,No,
CUST00054,30.0,Male,Riyadh,Desktop,Paid Search,1.0,No,Night,5.29,3.0,Books,nan,Yes,Credit/Debit Card,,No,Product Page,No,
CUST00055,50.0,Male,Doha,Mobile,Direct,3.0,Yes,Afternoon,5.89,2.0,Apparel,Toys,Yes,Digital Wallet,,No,Product Page,No,
CUST00056,27.0,Male,Dubai,Desktop,Email,4.0,Yes,Morning,14.92,3.0,Apparel,nan,Yes,Credit/Debit Card,1.0,Yes,None,Yes,126.37
CUST00057,32.0,Male,,Desktop,Referral,2.0,Yes,Morning,22.53,4.0,Home & Kitchen,nan,Yes,Digital Wallet,,No,Product Page,No,
CUST00058,42.0,Female,Cairo,Mobile,Social Media,1.0,No,Night,11.91,4.0,Electronics,Sports,No,Cash on Delivery,,No,Product Page,No,
CUST00059,42.0,Female,Riyadh,Mobile,Social Media,2.0,Yes,Afternoon,177.95262557153507,67.0,Home & Kitchen,nan,No,Digital Wallet,1.0,Yes,Checkout,No,
CUST00060,50.0,Female,Dubai,Mobile,Paid Search,3.0,Yes,Evening,8.9,3.0,Apparel,Toys,Yes,Credit/Debit Card,,No,Product Page,No,
CUST00061,30.0,Male,Kuwait City,Mobile,Paid Search,1.0,No,Evening,2.14,3.0,Books,Electronics,No,Digital Wallet,1.0,Yes,Cart,No,
CUST00062,47.0,Female,Cairo,Mobile,Organic,4.0,Yes,Afternoon,44.69,9.0,Electronics,nan,No,BNPL,1.0,Yes,Checkout,No,
CUST00063,40.0,Male,Dubai,Desktop,Social Media,1.0,No,Night,32.34,8.0,Apparel,nan,Yes,Digital Wallet,2.0,Yes,None,Yes,129.56
CUST00064,39.0,Male,Muscat,Mobile,Paid Search,3.0,Yes,Morning,18.87,7.0,Grocery,nan,No,Credit/Debit Card,5.0,Yes,None,Yes,95.9
CUST00065,26.0,Male,London,Tablet,Direct,3.0,Yes,Evening,31.4,,Books,nan,Yes,Digital Wallet,,No,Product Page,No,
CUST00066,41.0,Female,London,Mobile,Paid Search,4.0,Yes,Evening,13.65,5.0,Beauty,nan,Yes,Cash on Delivery,,No,Product Page,No,
CUST00067,33.0,Male,Cairo,Desktop,Email,3.0,Yes,Morning,28.41,7.0,Home & Kitchen,nan,Yes,Cash on Delivery,4.0,Yes,None,Yes,210.25
CUST00068,65.0,Female,Sharjah,Desktop,Social Media,2.0,Yes,Afternoon,14.35,4.0,Apparel,nan,Yes,Credit/Debit Card,,No,Product Page,No,
CUST00069,29.0,Male,Abu Dhabi,Tablet,Email,3.0,Yes,Evening,14.33,5.0,Apparel,nan,Yes,Credit/Debit Card,,No,Product Page,No,
CUST00070,28.0,Female,Dubai,Desktop,Paid Search,1.0,No,Night,9.45,5.0,Electronics,nan,No,Credit/Debit Card,1.0,Yes,None,Yes,394.0
CUST00071,43.0,Female,Dubai,Mobile,Email,2.0,Yes,Morning,15.68,5.0,Sports,nan,No,Credit/Debit Card,,No,Product Page,No,
CUST00072,22.0,Female,Abu Dhabi,Tablet,Paid Search,1.0,No,Afternoon,,13.0,Apparel,nan,Yes,Credit/Debit Card,2.0,Yes,Checkout,No,
CUST00073,32.0,Female,Abu Dhabi,Desktop,Social Media,2.0,Yes,Night,10.09,3.0,Beauty,Grocery,No,Digital Wallet,2.0,Yes,Cart,No,
CUST00074,37.0,Female,Dubai,Mobile,Email,4.0,Yes,Morning,11.62,,Apparel,Toys,No,Digital Wallet,3.0,Yes,Checkout,No,
CUST00075,38.0,Female,Abu Dhabi,Desktop,Paid Search,1.0,No,Evening,16.55,6.0,Home & Kitchen,nan,Yes,Cash on Delivery,2.0,Yes,Payment Gateway,No,
CUST00076,24.0,Female,Dubai,Desktop,Social Media,1.0,No,Evening,62.99,13.0,Home & Kitchen,nan,Yes,Credit/Debit Card,,No,Product Page,No,
CUST00077,47.0,Male,,Mobile,Direct,6.0,Yes,Afternoon,7.56,1.0,Sports,nan,Yes,Digital Wallet,,No,Product Page,No,
CUST00078,53.0,Male,Abu Dhabi,Mobile,Direct,4.0,Yes,Evening,9.21,4.0,Electronics,nan,Yes,Digital Wallet,,No,Product Page,No,
CUST00079,37.0,Male,Riyadh,Desktop,Paid Search,1.0,No,Night,24.03,6.0,Apparel,nan,Yes,BNPL,,No,Product Page,No,
CUST00080,19.0,Female,,Desktop,Paid Search,24.0,Yes,Evening,25.46,8.0,Electronics,Sports,Yes,Credit/Debit Card,4.0,Yes,None,Yes,398.66
CUST00081,61.0,Male,Dubai,Mobile,Paid Search,2.0,Yes,Evening,9.8,1.0,Electronics,nan,Yes,Credit/Debit Card,,No,Product Page,No,
CUST00082,60.0,Female,London,Mobile,Paid Search,1.0,No,Evening,6.25,3.0,Home & Kitchen,nan,Yes,Digital Wallet,2.0,Yes,Payment Gateway,No,
CUST00083,27.0,Female,Sharjah,Mobile,Referral,1.0,No,Evening,17.43,4.0,Electronics,Home & Kitchen,No,Digital Wallet,,No,Product Page,No,
CUST00084,41.0,Male,Abu Dhabi,Desktop,Organic,3.0,Yes,Morning,21.09,6.0,Electronics,Books,Yes,BNPL,,No,Product Page,No,
CUST00085,59.0,Male,Dubai,Desktop,Social Media,3.0,Yes,Night,21.37,5.0,Books,nan,No,Credit/Debit Card,,No,Product Page,No,
CUST00086,33.0,Other,Abu Dhabi,Mobile,Referral,1.0,No,Afternoon,10.64,2.0,Home & Kitchen,nan,Yes,BNPL,3.0,Yes,Checkout,No,
CUST00087,45.0,Male,Dubai,Mobile,Organic,2.0,Yes,Afternoon,23.13,7.0,Electronics,nan,No,Digital Wallet,,No,Product Page,No,
CUST00088,29.0,Female,Abu Dhabi,Mobile,Organic,4.0,Yes,Night,25.39,8.0,Electronics,nan,No,Credit/Debit Card,2.0,Yes,Checkout,No,
CUST00089,43.0,Male,Sharjah,Desktop,Social Media,1.0,No,Night,7.32,2.0,Electronics,Home & Kitchen,Yes,BNPL,1.0,Yes,None,Yes,250.45
CUST00090,34.0,Female,Cairo,Mobile,Social Media,2.0,Yes,Night,11.6,3.0,Home & Kitchen,Grocery,No,Digital Wallet,,No,Product Page,No,
CUST00091,37.0,Male,Doha,Mobile,Organic,6.0,Yes,Afternoon,23.07,8.0,Beauty,nan,No,Credit/Debit Card,,No,Product Page,No,
CUST00092,44.0,Female,Dubai,Mobile,Paid Search,2.0,Yes,Night,24.53,8.0,Beauty,Apparel,No,BNPL,3.0,Yes,Cart,No,
CUST00093,39.0,Female,Dubai,Desktop,Paid Search,1.0,No,Evening,12.08,5.0,Electronics,nan,No,Credit/Debit Card,1.0,Yes,None,Yes,268.07
CUST00094,48.0,Male,Abu Dhabi,Mobile,Paid Search,1.0,No,Night,2.79,1.0,Beauty,nan,Yes,Credit/Debit Card,3.0,Yes,Checkout,No,
CUST00095,79.0,Male,Dubai,Mobile,Paid Search,1.0,No,Night,33.09,7.0,Apparel,Sports,No,Credit/Debit Card,15.0,Yes,Checkout,No,
CUST00096,24.0,Male,Dubai,Desktop,Organic,2.0,Yes,Night,35.86,11.0,Home & Kitchen,nan,No,Digital Wallet,3.0,Yes,None,Yes,215.42
CUST00097,42.0,Other,Kuwait City,Mobile,Organic,7.0,Yes,Night,20.07,6.0,Sports,nan,No,Credit/Debit Card,,No,Product Page,No,
CUST00098,45.0,Female,Dubai,Mobile,Social Media,3.0,Yes,Morning,12.13,2.0,Apparel,Beauty,No,Credit/Debit Card,,No,Product Page,No,
CUST00099,47.0,Male,Muscat,Tablet,Paid Search,,Yes,Evening,22.47,5.0,Electronics,nan,No,Cash on Delivery,2.0,Yes,Checkout,No,
CUST00100,46.0,Male,Dubai,Mobile,Organic,4.0,Yes,Afternoon,14.82,4.0,Books,Electronics,Yes,Cash on Delivery,,No,Product Page,No,
CUST00101,44.0,Female,Mumbai,Mobile,Paid Search,3.0,Yes,Evening,28.36,7.0,Electronics,nan,No,Digital Wallet,1.0,Yes,None,Yes,400.01
CUST00102,32.0,Female,Riyadh,Mobile,Social Media,23.0,Yes,Night,52.58,11.0,Apparel,nan,Yes,Digital Wallet,,No,Product Page,No,
CUST00103,34.0,Female,Doha,Desktop,Email,5.0,Yes,Morning,21.39,7.0,Beauty,Grocery,Yes,Digital Wallet,3.0,Yes,None,Yes,112.39
CUST00104,33.0,Male,Dubai,Mobile,Paid Search,2.0,Yes,Evening,,7.0,Beauty,nan,Yes,Credit/Debit Card,,No,Product Page,No,
CUST00105,46.0,Female,Muscat,Desktop,Email,,Yes,Evening,20.87,9.0,Sports,nan,No,Credit/Debit Card,,No,Product Page,No,
CUST00106,40.0,Female,Muscat,Mobile,Email,6.0,Yes,Morning,36.76,10.0,Electronics,nan,No,Cash on Delivery,3.0,Yes,None,Yes,374.6
CUST00107,47.0,Female,Riyadh,Mobile,Paid Search,1.0,No,Afternoon,10.0,3.0,Apparel,nan,No,Cash on Delivery,,No,Product Page,No,
CUST00108,35.0,Female,Sharjah,Desktop,Paid Search,23.0,Yes,Morning,44.06,12.0,Electronics,Home & Kitchen,No,Credit/Debit Card,,No,Product Page,No,
CUST00109,40.0,Female,Doha,Tablet,Referral,1.0,No,Morning,9.76,3.0,Home & Kitchen,Grocery,No,Credit/Debit Card,1.0,Yes,Checkout,No,
CUST00110,35.0,Female,Dubai,Mobile,Paid Search,2.0,Yes,Evening,7.93,6.0,Apparel,nan,Yes,Credit/Debit Card,3.0,Yes,Payment Gateway,No,
CUST00111,59.0,Male,Riyadh,Desktop,Email,2.0,Yes,Afternoon,20.47,5.0,Beauty,nan,Yes,Credit/Debit Card,4.0,Yes,Checkout,No,
CUST00112,59.0,Female,Muscat,Mobile,Organic,4.0,Yes,Morning,17.6,5.0,Electronics,Books,No,Digital Wallet,,No,Product Page,No,
CUST00113,23.0,Male,Abu Dhabi,Mobile,Paid Search,2.0,Yes,Night,16.72,3.0,Electronics,nan,No,Digital Wallet,2.0,Yes,None,Yes,413.93
CUST00114,31.0,Male,Dubai,Mobile,Paid Search,1.0,No,Evening,9.36,2.0,Apparel,Beauty,No,Digital Wallet,,No,Product Page,No,
CUST00115,28.0,Male,Abu Dhabi,Mobile,Social Media,2.0,Yes,Evening,16.17,4.0,Grocery,Beauty,No,BNPL,3.0,Yes,Checkout,No,
CUST00116,22.0,Female,Doha,Mobile,Social Media,1.0,No,Afternoon,15.04,6.0,Books,nan,No,BNPL,,No,Product Page,No,
CUST00117,51.0,Male,Dubai,Mobile,Organic,4.0,Yes,Evening,14.28,4.0,Toys,nan,No,Digital Wallet,1.0,Yes,None,Yes,70.23
CUST00118,50.0,Male,Dubai,Mobile,Direct,5.0,Yes,Afternoon,95.29849575807758,16.0,Apparel,Sports,No,Digital Wallet,4.0,Yes,Checkout,No,
CUST00119,48.0,Male,Dubai,Mobile,Email,5.0,Yes,Evening,12.99,4.0,Electronics,Sports,No,Credit/Debit Card,,No,Product Page,No,
CUST00120,42.0,Male,Kuwait City,Desktop,Paid Search,2.0,Yes,Evening,69.18,13.0,Apparel,Sports,No,Credit/Debit Card,,No,Product Page,No,
CUST00121,42.0,Male,Dubai,Tablet,Direct,3.0,Yes,Morning,17.83,4.0,Beauty,Apparel,Yes,Digital Wallet,3.0,Yes,Cart,No,
CUST00122,55.0,Female,Doha,Desktop,Email,2.0,Yes,Night,32.89,9.0,Electronics,nan,No,BNPL,,No,Product Page,No,
CUST00123,39.0,Female,Abu Dhabi,Mobile,Direct,5.0,Yes,Evening,12.98,2.0,Apparel,Sports,Yes,Credit/Debit Card,,No,Product Page,No,
CUST00124,29.0,Male,Kuwait City,Mobile,Social Media,1.0,No,Evening,6.85,1.0,Electronics,Sports,No,Cash on Delivery,,No,Product Page,No,
CUST00125,47.0,Female,Mumbai,Desktop,Email,5.0,Yes,Night,,6.0,Home & Kitchen,Beauty,No,BNPL,,No,Product Page,No,
CUST00126,42.0,Female,Dubai,Tablet,Organic,3.0,Yes,Afternoon,23.72,5.0,Electronics,Books,Yes,BNPL,,No,Product Page,No,
CUST00127,25.0,Male,Abu Dhabi,Mobile,Social Media,1.0,No,Night,1.51,1.0,Electronics,Home & Kitchen,No,Digital Wallet,,No,Product Page,No,
CUST00128,34.0,Female,Muscat,Desktop,Referral,1.0,No,Evening,61.41,11.0,Apparel,Toys,No,Credit/Debit Card,,No,Product Page,No,
CUST00129,37.0,Other,Dubai,Tablet,Paid Search,1.0,No,Afternoon,21.98,5.0,Apparel,nan,No,Credit/Debit Card,2.0,Yes,None,Yes,105.72
CUST00130,55.0,Male,Dubai,Desktop,Paid Search,1.0,No,Night,11.63,4.0,Home & Kitchen,nan,Yes,Credit/Debit Card,2.0,Yes,Cart,No,
CUST00131,35.0,Male,Muscat,Mobile,Direct,4.0,Yes,Evening,23.6,4.0,Beauty,nan,No,Cash on Delivery,3.0,Yes,Checkout,No,
CUST00132,30.0,Female,Mumbai,Mobile,Paid Search,2.0,Yes,Afternoon,18.07,5.0,Electronics,nan,No,Credit/Debit Card,,No,Product Page,No,
CUST00133,50.0,Female,Riyadh,Mobile,Direct,6.0,Yes,Night,21.37,5.0,Sports,Electronics,No,Credit/Debit Card,,No,Product Page,No,
CUST00134,32.0,Male,Dubai,Mobile,Organic,3.0,Yes,Evening,12.5,4.0,Electronics,nan,No,Digital Wallet,,No,Product Page,No,
CUST00135,23.0,Female,Abu Dhabi,Mobile,Paid Search,3.0,Yes,Evening,156.09562885532713,31.0,Apparel,Toys,No,Digital Wallet,,No,Product Page,No,
CUST00136,43.0,Male,Dubai,Mobile,Social Media,1.0,No,Night,15.51,7.0,Home & Kitchen,Beauty,No,Digital Wallet,2.0,Yes,Cart,No,
CUST00137,15.0,Female,Kuwait City,Desktop,Email,3.0,Yes,Morning,43.6,8.0,Grocery,Beauty,Yes,BNPL,,No,Product Page,No,
CUST00138,40.0,Female,Kuwait City,Mobile,Organic,,Yes,Morning,20.12,4.0,Home & Kitchen,Toys,No,Credit/Debit Card,,No,Product Page,No,
CUST00139,45.0,Male,Cairo,Mobile,Direct,4.0,Yes,Morning,20.56,6.0,Electronics,nan,No,Digital Wallet,,No,Product Page,No,
CUST00140,45.0,Female,Dubai,Mobile,Direct,6.0,Yes,Night,8.43,3.0,Home & Kitchen,nan,No,Digital Wallet,,No,Product Page,No,
CUST00141,42.0,Female,Riyadh,Desktop,Social Media,1.0,No,Afternoon,17.54,6.0,Apparel,nan,Yes,Credit/Debit Card,,No,Product Page,No,
CUST00142,34.0,Male,Dubai,Desktop,Paid Search,2.0,Yes,Afternoon,28.64,6.0,Home & Kitchen,nan,No,Digital Wallet,2.0,Yes,Cart,No,
CUST00143,29.0,Female,Abu Dhabi,Mobile,Direct,5.0,Yes,Afternoon,120.26374916962635,23.0,Electronics,Books,Yes,Digital Wallet,1.0,Yes,None,Yes,189.98
CUST00144,23.0,Female,Kuwait City,Desktop,Social Media,2.0,Yes,Evening,14.27,2.0,Home & Kitchen,nan,No,Digital Wallet,,No,Product Page,No,
CUST00145,45.0,Male,,Mobile,Paid Search,2.0,Yes,Evening,8.8,5.0,Electronics,Books,No,Credit/Debit Card,,No,Product Page,No,
CUST00146,37.0,Female,,Mobile,Email,4.0,Yes,Night,12.15,3.0,Beauty,nan,Yes,Cash on Delivery,,No,Product Page,No,
CUST00147,31.0,Male,Riyadh,Desktop,Direct,4.0,Yes,Afternoon,12.6,3.0,Home & Kitchen,Grocery,No,BNPL,,No,Product Page,No,
CUST00148,24.0,Male,London,Mobile,Organic,4.0,Yes,Afternoon,26.13,9.0,Electronics,nan,Yes,Credit/Debit Card,,No,Product Page,No,
CUST00149,35.0,Male,Kuwait City,Mobile,Social Media,1.0,No,Night,10.01,,Books,nan,No,Digital Wallet,2.0,Yes,None,Yes,44.15
CUST00150,45.0,Male,Kuwait City,Mobile,Organic,23.0,Yes,Afternoon,15.79,4.0,Home & Kitchen,nan,No,Digital Wallet,,No,Product Page,No,
CUST00151,43.0,Female,Sharjah,Mobile,Organic,2.0,Yes,Night,67.51,13.0,Apparel,nan,No,Credit/Debit Card,1.0,Yes,Payment Gateway,No,
CUST00152,29.0,Male,Dubai,Mobile,Direct,4.0,Yes,Evening,8.81,1.0,Electronics,nan,Yes,Digital Wallet,14.0,Yes,Payment Gateway,No,
CUST00153,34.0,Female,Abu Dhabi,Desktop,Referral,2.0,Yes,Afternoon,25.18,9.0,Beauty,nan,Yes,Credit/Debit Card,3.0,Yes,Payment Gateway,No,
CUST00154,29.0,Male,Sharjah,Mobile,Social Media,1.0,No,Night,15.9,7.0,Apparel,nan,Yes,BNPL,,No,Product Page,No,
CUST00155,24.0,Female,Doha,Tablet,Email,3.0,Yes,Afternoon,24.95,8.0,Books,nan,No,Digital Wallet,10.0,Yes,None,Yes,101.47
CUST00156,57.0,Female,Riyadh,Mobile,Referral,2.0,Yes,Afternoon,3.85,3.0,Electronics,nan,Yes,BNPL,2.0,Yes,Cart,No,
CUST00157,32.0,Female,Abu Dhabi,Mobile,Paid Search,1.0,No,Afternoon,33.65,9.0,Electronics,nan,No,Credit/Debit Card,,No,Product Page,No,
CUST00158,51.0,Male,Dubai,Mobile,Paid Search,1.0,No,Night,15.73,3.0,Grocery,nan,No,Credit/Debit Card,,No,Product Page,No,
CUST00159,34.0,Male,Dubai,Mobile,Direct,4.0,Yes,Evening,27.37,7.0,Grocery,Toys,Yes,Digital Wallet,,No,Product Page,No,
CUST00160,44.0,Male,Doha,Desktop,Paid Search,2.0,Yes,Afternoon,33.98,7.0,Electronics,Books,No,BNPL,,No,Product Page,No,
CUST00161,46.0,Female,Riyadh,Mobile,Paid Search,1.0,No,Night,47.99,7.0,Beauty,Apparel,No,Digital Wallet,,No,Product Page,No,
CUST00162,40.0,Male,Doha,Mobile,Paid Search,1.0,No,Evening,5.48,4.0,Electronics,nan,Yes,Digital Wallet,,No,Product Page,No,
CUST00163,44.0,Female,Abu Dhabi,Desktop,Social Media,2.0,Yes,Evening,12.74,4.0,Beauty,nan,No,Credit/Debit Card,2.0,Yes,Cart,No,
CUST00164,44.0,Female,Dubai,Mobile,Paid Search,1.0,No,Evening,7.65,1.0,Books,Grocery,No,Credit/Debit Card,,No,Product Page,No,
CUST00165,48.0,Male,Kuwait City,Desktop,Social Media,1.0,No,Night,8.83,2.0,Electronics,nan,Yes,Digital Wallet,,No,Product Page,No,
CUST00166,25.0,Female,Kuwait City,Desktop,Referral,1.0,No,Evening,40.08,11.0,Electronics,Home & Kitchen,No,Digital Wallet,2.0,Yes,Cart,No,
CUST00167,29.0,Female,Sharjah,Mobile,Organic,3.0,Yes,Morning,12.33,4.0,Electronics,Books,No,Credit/Debit Card,,No,Product Page,No,
